PID,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1,20,7,8,20,20,20,8,2,2,20
2,16,0,2,9,11,5,2,0,0,0
3,1,0,1,1,10,2,0,0,0,0
4,3,0,2,1,10,5,0,0,0,0
5,1,0,0,1,5,1,0,0,1,0
6,10,0,0,3,9,6,1,1,1,1
7,12,0,1,3,12,9,1,1,1,1
8,13,0,1,2,13,9,1,1,1,1
9,20,1,6,18,20,20,8,4,5,13
10,20,1,6,18,20,20,9,4,5,13
11,9,0,0,3,5,5,1,0,0,0
12,2,0,0,3,11,1,0,0,0,0
13,20,1,6,19,20,20,9,4,5,14
14,12,0,1,3,13,9,1,1,1,1
15,10,0,0,5,12,5,1,1,1,1
16,10,0,0,5,12,5,1,1,1,1
17,10,0,0,5,10,5,1,1,1,1
18,10,0,0,5,10,5,1,1,1,1
19,20,1,5,20,20,20,9,4,6,14
20,20,1,6,20,20,20,9,4,6,14
21,14,1,0,4,10,10,2,1,1,2
22,20,1,6,20,20,20,9,4,6,14
23,20,1,6,20,20,20,9,4,6,14
24,20,1,6,20,20,20,9,4,6,14
25,20,1,6,20,20,20,9,4,6,14
26,20,1,6,20,20,20,9,4,6,14
27,20,1,6,20,20,20,9,4,6,14
28,20,1,6,20,20,20,9,4,6,14
29,20,1,6,20,20,20,9,4,6,14
30,20,1,7,20,20,20,10,6,7,18
31,20,2,7,20,20,20,10,6,7,19
32,20,1,6,20,20,20,9,4,6,16
33,20,2,8,20,20,20,10,6,7,19
34,20,1,5,20,20,20,9,4,6,15
35,20,5,9,20,20,20,9,5,7,20
36,20,2,8,20,20,20,9,6,7,20
37,20,2,8,20,20,20,9,6,7,20
38,14,1,0,3,11,10,2,1,1,2
39,20,2,7,20,20,20,10,4,6,17
40,5,0,1,9,20,8,2,1,0,0
41,5,0,1,9,20,8,2,1,0,0
42,5,0,1,9,20,7,1,1,0,0
43,5,0,1,9,20,7,1,1,0,0
44,20,2,7,20,20,20,12,4,7,17
45,7,0,2,9,20,11,3,1,1,0
46,20,8,9,20,20,20,10,5,10,20
47,20,5,10,20,20,20,13,5,7,18
48,20,5,10,20,20,20,12,5,6,19
49,20,5,11,20,20,20,12,5,6,19
50,20,5,11,20,20,20,12,5,6,20
51,20,5,11,20,20,20,13,5,6,20
52,20,5,11,20,20,20,13,7,8,20
53,5,1,0,1,10,5,1,1,1,2
54,20,4,8,20,20,20,14,5,6,19
55,12,0,2,11,20,10,2,1,1,0
56,12,0,2,11,20,11,3,1,1,0
57,12,0,2,11,20,11,3,1,1,0
58,12,0,2,11,20,10,2,1,1,0
59,12,0,2,12,20,10,3,1,1,0
60,20,5,4,20,20,20,10,2,11,6
61,20,7,7,20,20,20,16,5,12,20
62,20,7,9,20,20,20,15,5,8,20
63,12,0,2,13,20,10,3,1,1,0
64,20,7,8,20,20,20,14,5,7,20
65,20,7,6,20,20,20,14,3,6,20
66,20,7,7,20,20,20,13,3,6,20
67,20,7,7,20,20,20,13,3,6,20
68,20,7,6,20,20,20,14,3,12,20
69,20,7,6,20,20,20,14,2,13,20
70,20,7,10,20,20,20,10,4,5,20
71,20,7,6,20,20,20,12,2,5,20
72,20,7,7,20,20,20,12,1,4,20
73,20,7,7,20,20,20,12,1,4,20
74,20,7,6,20,20,20,14,2,13,19
75,20,7,6,20,20,20,14,2,13,19
76,20,7,6,20,20,20,13,2,13,19
77,20,7,9,20,20,20,11,4,5,20
78,20,8,9,20,20,20,11,3,5,20
79,20,7,6,20,20,20,13,3,13,19
80,20,8,7,20,20,20,13,3,11,8
81,20,7,6,20,20,20,15,2,12,20
82,20,7,6,20,20,20,14,3,12,20
83,20,7,6,20,20,20,12,1,5,20
84,20,7,5,20,20,20,12,2,5,20
85,20,5,9,20,20,20,8,3,5,18
86,20,5,8,20,20,20,8,3,5,18
87,20,5,8,20,20,20,8,3,5,18
88,20,5,8,20,20,20,8,3,5,17
89,20,5,8,20,20,20,8,3,5,17
90,20,7,6,20,20,20,13,3,13,20
91,20,7,6,20,20,20,13,3,13,20
92,20,2,6,20,20,20,7,2,11,3
93,20,8,9,20,20,20,13,4,11,9
94,20,7,7,20,20,20,14,3,12,20
95,6,1,0,4,15,6,1,0,0,1
96,20,7,5,20,20,20,11,2,5,20
97,20,9,9,20,20,20,15,4,11,11
98,20,2,4,20,20,15,3,1,3,10
99,20,2,3,20,20,16,3,1,3,9
100,20,7,7,20,20,20,13,3,13,20
101,20,7,7,20,20,20,13,4,12,20
102,20,7,7,20,20,20,10,2,5,20
103,20,1,4,20,20,15,3,1,3,8
104,20,5,6,20,20,20,9,3,11,5
105,20,5,6,20,20,20,9,3,11,6
106,20,5,6,20,20,20,9,3,11,6
107,20,5,6,20,20,20,9,3,11,6
108,20,5,6,20,20,20,9,3,11,6
109,20,5,6,20,20,20,9,3,11,6
110,20,7,6,20,20,20,11,4,11,20
111,20,1,4,20,20,15,3,1,2,8
112,20,1,3,20,20,16,3,1,2,7
113,20,8,8,20,20,20,11,3,11,7
114,20,4,6,20,20,20,7,1,11,3
115,20,5,6,20,20,20,8,2,11,3
116,20,1,3,20,20,16,3,1,1,6
117,20,4,6,20,20,20,9,2,11,5
118,20,7,7,20,20,20,13,4,13,20
119,20,1,3,20,20,15,3,1,1,6
120,20,1,3,20,20,16,3,1,1,6
121,20,7,7,20,20,20,15,5,12,20
122,20,8,9,20,20,20,14,4,11,11
123,20,6,6,20,20,20,9,2,11,6
124,20,7,8,20,20,20,9,2,2,20
125,20,7,7,20,20,20,9,3,4,20
126,20,7,7,20,20,20,12,3,12,20
127,20,9,9,20,20,20,15,5,12,20
128,20,7,8,20,20,20,8,2,2,20
129,20,3,7,20,20,20,8,2,11,7
130,20,3,7,20,20,20,8,2,11,7
131,20,3,5,20,20,16,4,2,1,11
132,20,7,7,20,20,20,9,3,4,20
133,20,4,7,20,20,20,8,2,11,7
134,20,4,7,20,20,20,8,2,11,7
135,20,7,8,20,20,20,8,2,1,20
136,20,4,7,20,20,20,8,2,11,7
137,20,4,7,20,20,20,8,2,11,7
138,20,4,7,20,20,20,8,2,11,7
139,20,4,7,20,20,20,8,2,11,7
140,16,4,2,10,20,13,1,0,1,2
141,20,4,7,20,20,20,8,2,11,7
142,20,4,7,20,20,20,8,2,11,7
143,20,4,7,20,20,20,8,2,11,7
144,20,4,7,20,20,20,8,2,11,7
145,20,4,7,20,20,20,8,2,11,7
146,20,1,4,20,20,15,3,2,1,10
147,20,0,2,18,20,11,4,1,1,4
148,20,1,5,20,20,15,3,2,1,10
149,20,1,5,20,20,15,3,2,1,15
150,20,9,12,20,20,20,13,4,12,20
151,20,7,8,20,20,20,8,2,1,20
152,20,7,8,20,20,20,8,2,1,20
153,20,9,13,20,20,20,14,4,13,20
154,20,8,7,20,20,20,11,3,12,11
155,15,3,2,17,20,14,3,3,1,1
156,20,1,3,20,20,15,4,1,2,6
157,20,1,3,20,20,15,4,1,2,6
158,20,1,3,20,20,15,4,1,2,6
159,20,2,5,20,20,18,5,3,2,8
160,20,2,4,20,20,18,5,2,3,9
161,15,3,2,18,20,14,2,3,1,1
162,20,5,8,20,20,20,7,2,1,20
163,20,8,8,20,20,20,11,3,12,13
164,20,7,9,20,20,20,8,2,1,20
165,20,1,4,20,20,17,4,1,3,7
166,20,6,8,20,20,20,8,3,9,8
167,20,5,7,20,20,20,6,3,6,8
168,20,6,7,20,20,20,6,3,8,8
169,20,5,7,20,20,20,5,3,2,7
170,20,7,8,20,20,20,10,3,12,15
171,20,3,5,20,20,19,5,4,3,7
172,20,2,5,20,20,19,5,4,3,8
173,20,8,9,20,20,20,12,3,13,18
174,20,6,7,20,20,20,7,3,9,8
175,20,10,12,20,20,20,16,4,13,20
176,20,3,6,20,20,20,7,4,3,8
177,20,3,5,20,20,18,5,4,3,6
178,20,6,8,20,20,20,10,3,12,13
179,20,3,7,20,20,20,7,4,3,8
180,20,1,4,20,20,17,4,1,3,7
181,20,0,5,20,20,14,2,1,1,20
182,20,2,5,20,20,20,6,1,4,9
183,20,7,7,20,20,20,8,3,12,10
184,20,10,13,20,20,20,17,3,12,20
185,20,3,7,20,20,20,7,2,4,9
186,20,7,8,20,20,20,8,3,3,20
187,20,3,6,20,20,20,7,2,5,10
188,20,6,7,20,20,20,9,3,15,10
189,20,10,13,20,20,20,16,4,13,20
190,20,6,8,20,20,20,11,3,16,18
191,20,0,6,20,20,14,3,1,2,20
192,20,0,6,20,20,14,3,1,2,20
193,20,11,13,20,20,20,17,4,13,20
194,20,11,14,20,20,20,17,4,14,20
195,20,3,6,20,20,19,6,4,3,7
196,20,8,12,20,20,20,14,4,12,20
197,20,8,10,20,20,20,14,4,17,20
198,20,8,10,20,20,20,14,4,17,20
199,20,8,10,20,20,20,14,4,17,20
200,20,13,14,20,20,20,19,4,13,20
201,20,5,4,20,20,17,4,3,2,2
202,20,7,10,20,20,20,14,4,17,20
203,20,10,10,20,20,20,17,4,16,20
204,20,13,14,20,20,20,19,4,12,20
205,20,4,7,20,20,20,7,2,5,12
206,20,5,8,20,20,20,7,2,4,12
207,20,5,8,20,20,20,7,2,4,12
208,20,4,7,20,20,20,7,2,5,12
209,20,11,13,20,20,20,14,4,13,20
210,20,4,3,20,20,11,2,3,2,2
211,20,4,7,20,20,20,7,2,5,11
212,20,13,14,20,20,20,16,4,12,20
213,20,4,3,20,20,11,2,3,2,2
214,20,4,3,20,20,11,2,3,2,2
215,20,4,7,20,20,20,7,2,5,12
216,20,13,12,20,20,20,18,5,12,20
217,20,11,13,20,20,20,13,4,13,20
218,18,3,2,13,20,6,2,1,0,0
219,20,7,6,20,20,20,5,4,5,15
220,20,13,14,20,20,20,16,4,12,20
221,20,3,3,15,20,8,2,2,1,2
222,20,8,9,20,20,20,16,4,17,20
223,20,5,8,20,20,20,6,2,5,13
224,20,4,7,20,20,20,7,2,5,12
225,20,10,12,20,20,20,17,4,14,20
226,20,5,3,20,20,11,2,3,4,2
227,20,4,7,20,20,20,7,2,5,12
228,20,5,8,20,20,20,7,2,6,12
229,20,4,6,20,20,20,7,2,5,12
230,20,4,7,20,20,20,7,2,7,13
231,14,3,2,12,20,5,1,1,1,0
232,20,12,12,20,20,20,16,4,12,20
233,20,11,12,20,20,20,17,5,12,20
234,20,4,7,20,20,20,7,2,6,12
235,20,5,8,20,20,20,7,2,6,13
236,20,5,8,20,20,20,6,2,7,13
237,20,4,7,20,20,20,7,2,11,13
238,20,3,3,16,20,8,2,2,1,2
239,20,4,6,20,20,20,7,2,7,12
240,20,4,6,20,20,20,6,2,6,12
241,20,5,8,20,20,20,6,2,9,13
242,20,11,12,20,20,20,13,4,13,20
243,20,11,12,20,20,20,13,4,13,20
244,20,5,5,20,20,19,4,4,6,5
245,20,5,5,20,20,19,4,4,6,5
246,20,4,6,20,20,20,7,2,11,12
247,20,3,3,17,20,7,2,2,2,2
248,20,11,17,20,20,20,17,5,13,20
249,20,10,11,20,20,20,12,6,13,20
250,20,8,9,20,20,20,7,4,5,20
251,20,3,3,17,20,7,2,2,2,2
252,20,8,15,20,20,20,15,4,17,20
253,20,11,14,20,20,20,17,6,12,20
254,20,10,10,20,20,20,14,5,12,20
255,20,4,8,20,20,20,6,2,10,13
256,20,11,11,20,20,20,14,5,12,20
257,20,4,8,20,20,20,6,2,10,13
258,20,10,10,20,20,20,13,4,12,20
259,20,11,17,20,20,20,17,5,12,20
260,20,5,8,20,20,20,6,2,13,13
261,20,5,8,20,20,20,6,2,13,13
262,20,11,12,20,20,20,11,6,7,20
263,20,5,8,20,20,20,6,2,13,13
264,20,4,6,20,20,20,7,2,11,12
265,20,5,5,20,20,20,5,4,7,12
266,20,5,4,20,20,20,4,4,5,8
267,20,4,6,20,20,20,7,2,12,12
268,20,4,6,20,20,20,7,2,12,12
269,20,4,6,20,20,20,7,2,12,12
270,20,13,15,20,20,20,15,7,12,20
271,20,9,10,20,20,20,13,4,13,20
272,20,4,6,20,20,20,7,2,12,12
273,20,9,10,20,20,20,13,4,8,20
274,20,5,7,20,20,20,7,2,12,13
275,20,5,7,20,20,20,7,2,12,13
276,20,10,11,20,20,20,8,5,20,20
277,20,9,16,20,20,20,15,5,14,20
278,20,4,6,20,20,20,7,2,12,13
279,20,10,20,20,20,20,17,6,17,20
280,20,11,15,20,20,20,12,5,12,20
281,20,4,3,18,20,12,2,3,2,3
282,20,10,20,20,20,20,17,7,17,20
283,20,11,15,20,20,20,11,5,12,20
284,20,4,5,20,20,20,7,2,12,13
285,20,9,16,20,20,20,14,6,15,20
286,20,5,7,20,20,20,8,2,12,13
287,20,5,7,20,20,20,8,2,12,13
288,20,5,7,20,20,20,7,2,12,13
289,20,9,17,20,20,20,16,6,15,20
290,20,10,20,20,20,20,17,6,16,20
291,20,9,16,20,20,20,16,6,15,20
292,20,3,11,20,20,20,11,4,6,20
293,20,5,7,20,20,20,7,3,16,15
294,20,11,20,20,20,20,18,6,16,20
295,20,5,8,20,20,20,8,2,13,13
296,20,3,11,20,20,20,11,5,6,20
297,20,4,8,20,20,20,7,2,16,12
298,20,9,19,20,20,20,17,6,15,20
299,20,5,8,20,20,20,8,2,14,13
300,20,5,7,20,20,20,7,2,12,13
301,20,5,7,20,20,20,7,2,12,13
302,20,8,18,20,20,20,14,4,14,20
303,20,4,5,20,20,20,7,2,12,13
304,20,12,20,20,20,20,19,8,19,20
305,20,5,7,20,20,20,7,2,12,13
306,20,8,18,20,20,20,13,5,13,20
307,20,5,7,20,20,20,7,2,12,13
308,20,5,8,20,20,20,7,2,17,16
309,20,7,16,20,20,20,12,6,6,20
310,20,10,20,20,20,20,18,6,15,20
311,20,10,20,20,20,20,18,6,15,20
312,20,10,20,20,20,20,18,6,15,20
313,20,7,8,20,20,20,7,5,20,20
314,20,8,18,20,20,20,12,5,13,20
315,20,9,20,20,20,20,11,5,5,20
316,20,9,20,20,20,20,11,6,5,20
317,20,5,7,20,20,20,7,2,13,13
318,20,8,9,20,20,20,7,5,20,20
319,20,8,9,20,20,20,7,5,20,20
320,20,8,18,20,20,20,12,5,13,20
321,20,9,20,20,20,20,11,6,5,20
322,20,3,11,20,20,20,9,4,6,20
323,20,8,18,20,20,20,10,5,3,20
324,20,8,18,20,20,20,10,5,3,20
325,20,8,18,20,20,20,10,5,3,20
326,20,8,18,20,20,20,11,5,6,20
327,20,8,18,20,20,20,14,5,12,20
328,20,5,7,20,20,20,7,2,13,13
329,20,8,19,20,20,20,14,5,12,20
330,20,11,20,20,20,20,19,6,17,20
331,20,8,20,20,20,20,11,6,6,20
332,20,5,7,20,20,20,7,2,15,13
333,20,8,18,20,20,20,12,5,9,20
334,20,9,20,20,20,20,10,6,6,20
335,20,4,11,20,20,20,10,5,6,20
336,20,4,11,20,20,20,10,5,6,20
337,20,8,18,20,20,20,11,5,5,20
338,20,8,18,20,20,20,11,5,5,20
339,20,12,20,20,20,20,20,7,17,20
340,20,4,12,20,20,20,6,3,5,20
341,20,10,20,20,20,20,18,6,14,20
342,20,8,18,20,20,20,13,5,11,20
343,20,8,18,20,20,20,13,5,11,20
344,20,4,11,20,20,20,10,5,6,20
345,20,12,20,20,20,20,19,7,17,20
346,20,8,18,20,20,20,10,5,3,20
347,20,3,13,20,20,20,6,4,5,20
348,20,8,18,20,20,20,10,5,3,20
349,20,9,20,20,20,20,9,6,5,20
350,20,5,9,20,20,20,7,2,18,18
351,20,5,9,20,20,20,7,2,18,17
352,20,5,9,20,20,20,7,2,17,17
353,20,5,9,20,20,20,7,3,18,18
354,20,11,10,20,20,20,8,6,20,20
355,20,5,6,20,20,20,7,2,13,13
356,20,8,18,20,20,20,11,6,6,20
357,20,5,6,20,20,20,7,2,13,13
358,20,10,20,20,20,20,17,6,11,20
359,20,9,20,20,20,20,17,5,8,20
360,20,13,20,20,20,20,18,9,16,20
361,20,5,7,20,20,20,7,2,13,13
362,20,11,20,20,20,20,17,7,15,20
363,20,9,20,20,20,20,10,6,5,20
364,20,5,6,20,20,20,7,2,13,14
365,20,8,18,20,20,20,11,5,5,20
366,20,8,18,20,20,20,11,6,5,20
367,20,6,18,20,20,20,10,6,6,20
368,20,15,20,20,20,20,20,9,20,20
369,20,14,20,20,20,20,18,10,20,20
370,20,14,20,20,20,20,18,9,20,20
371,20,14,20,20,20,20,18,9,20,20
372,20,11,20,20,20,20,17,7,11,20
373,20,11,20,20,20,20,17,7,11,20
374,20,14,20,20,20,20,18,10,20,20
375,20,13,20,20,20,20,18,9,16,20
376,20,6,17,20,20,20,10,6,6,20
377,20,14,20,20,20,20,18,9,20,20
378,20,9,20,20,20,20,12,6,5,20
379,20,5,13,20,20,20,9,3,19,18
380,20,8,20,20,20,20,12,5,6,20
381,20,9,20,20,20,20,12,6,5,20
382,20,14,20,20,20,20,20,9,20,20
383,20,14,20,20,20,20,20,9,20,20
384,20,5,17,20,20,20,10,5,7,20
385,20,10,20,20,20,20,16,7,9,20
386,20,4,13,20,20,20,8,3,11,20
387,20,10,12,20,20,20,8,8,20,20
388,20,14,20,20,20,20,20,9,20,20
389,20,9,20,20,20,20,12,5,7,20
390,20,14,20,20,20,20,20,9,20,20
391,20,14,20,20,20,20,20,9,20,20
392,20,4,14,20,20,20,8,3,11,20
393,20,4,5,20,20,20,7,2,12,13
394,20,4,5,20,20,20,7,2,12,13
395,20,4,16,20,20,20,10,4,20,20
396,20,4,16,20,20,20,10,3,20,20
397,20,11,14,20,20,20,10,8,20,20
398,20,5,11,20,20,20,8,2,19,18
399,20,5,11,20,20,20,8,2,19,18
400,20,5,11,20,20,20,8,2,19,18
401,20,10,13,20,20,20,12,8,20,20
402,20,5,12,20,20,20,8,2,19,18
403,20,12,20,20,20,20,19,9,20,20
404,20,12,20,20,20,20,17,7,16,20
405,20,11,20,20,20,20,17,7,13,20
406,20,16,20,20,20,20,15,9,20,20
407,20,15,20,20,20,20,20,9,20,20
408,20,16,20,20,20,20,15,9,20,20
409,20,12,20,20,20,20,17,7,13,20
410,20,5,10,20,20,20,9,2,17,15
411,20,13,20,20,20,20,19,9,20,20
412,20,13,20,20,20,20,19,8,20,20
413,20,17,20,20,20,20,16,9,20,20
414,20,5,18,20,20,20,10,5,9,20
415,20,15,20,20,20,20,20,9,20,20
416,20,15,20,20,20,20,20,9,20,20
417,20,17,20,20,20,20,17,10,20,20
418,20,8,19,20,20,20,11,6,9,20
419,20,7,20,20,20,20,16,6,9,20
420,20,8,19,20,20,20,11,6,9,20
421,20,8,20,20,20,20,16,8,9,20
422,20,9,20,20,20,20,13,7,11,20
423,20,19,20,20,20,20,20,12,20,20
424,20,11,20,20,20,20,16,7,12,20
425,20,5,6,20,20,20,7,2,13,13
426,20,11,20,20,20,20,18,7,20,20
427,20,9,20,20,20,20,13,8,11,20
428,20,10,12,20,20,20,12,7,20,20
429,20,10,12,20,20,20,12,7,20,20
430,20,5,10,20,20,20,8,2,17,15
431,20,9,20,20,20,20,12,8,11,20
432,20,5,7,20,20,20,7,2,14,13
433,20,13,17,20,20,20,14,8,20,20
434,20,6,20,20,20,20,10,5,10,20
435,20,3,12,20,20,20,5,3,11,20
436,20,15,20,20,20,20,19,10,20,20
437,20,11,14,20,20,20,13,7,20,20
438,20,11,20,20,20,20,15,8,14,20
439,20,12,13,20,20,20,13,7,20,20
440,20,5,7,20,20,20,7,2,14,13
441,20,17,20,20,20,20,20,12,20,20
442,20,17,20,20,20,20,18,12,20,20
443,20,10,20,20,20,20,19,8,20,20
444,20,10,20,20,20,20,18,8,20,20
445,20,12,15,20,20,20,14,7,20,20
446,20,13,20,20,20,20,20,9,20,20
447,20,8,20,20,20,20,14,8,11,20
448,20,17,20,20,20,20,20,12,20,20
449,20,9,20,20,20,20,13,9,12,20
450,20,15,20,20,20,20,18,11,20,20
451,20,9,20,20,20,20,15,10,10,20
452,20,10,20,20,20,20,18,8,20,20
453,20,17,20,20,20,20,20,12,20,20
454,20,12,19,20,20,20,14,7,20,20
455,20,5,10,20,20,20,8,2,17,15
456,20,9,20,20,20,20,15,10,10,20
457,20,17,20,20,20,20,20,11,20,20
458,20,5,11,20,20,20,8,2,18,18
459,20,9,20,20,20,20,14,7,12,20
460,20,17,20,20,20,20,20,11,20,20
461,20,17,20,20,20,20,20,11,20,20
462,20,17,20,20,20,20,20,11,20,20
463,20,9,20,20,20,20,14,8,11,20
464,20,17,20,20,20,20,19,12,20,20
465,20,17,20,20,20,20,19,12,20,20
466,20,17,20,20,20,20,20,11,20,20
467,20,10,20,20,20,20,18,9,20,20
468,20,10,20,20,20,20,18,9,20,20
469,20,17,20,20,20,20,18,13,20,20
470,20,4,17,20,20,20,9,3,20,20
471,20,17,20,20,20,20,18,13,20,20
472,20,18,20,20,20,20,20,11,20,20
473,20,18,20,20,20,20,20,11,20,20
474,20,4,13,20,20,20,7,3,10,20
475,20,17,20,20,20,20,20,11,20,20
476,20,10,20,20,20,20,18,9,20,20
477,20,10,20,20,20,20,18,9,20,20
478,20,7,15,20,20,20,9,4,12,20
479,20,15,20,20,20,20,20,12,20,20
480,20,6,20,20,20,20,10,6,10,20
481,20,18,20,20,20,20,20,14,20,20
482,20,15,20,20,20,20,18,13,20,20
483,20,4,10,20,20,20,8,2,17,15
484,20,7,14,20,20,20,7,4,11,20
485,20,5,15,20,20,20,6,3,11,20
486,20,4,10,20,20,20,7,1,19,18
487,20,5,11,20,20,20,8,2,18,18
488,20,3,9,20,20,18,4,1,9,20
489,20,5,11,20,20,20,8,2,18,18
490,20,7,16,20,20,20,10,4,12,20
491,0,0,0,0,4,0,0,0,0,0
492,20,9,20,20,20,20,15,8,12,20
493,20,3,9,20,20,17,4,1,20,20
494,20,4,10,20,20,20,8,2,15,15
495,20,11,20,20,20,20,14,8,12,20
496,20,14,20,20,20,20,19,13,20,20
497,20,11,20,20,20,20,14,8,15,20
498,20,14,20,20,20,20,20,13,20,20
499,20,4,10,20,20,17,4,1,20,20
500,20,4,10,20,20,17,4,1,20,20
